fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x17d5a08f8fa305f31f27442393c64f497dd3893417da6e76c321c4c2a187320d,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,49.18897,1.4737,Asian Handicap (-1),,Primera Nacional,Almirante Brown vs Ciudad Bolivar,Almirante Brown,Ciudad Bolivar,0xa6a338c64f062bfd589e8d5d9cea45a27c9e64065f71f800e5966f81ce53c556,L19683447,0,0,SUCCESS,1,1786218084,1786212000,103.82896,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x56975f372357be259365cb7d2929c88d4fae157eea7a71d53d57cb234834f2ca,0x23a63d3fEDf22e3D422073b7226922d61587207c,,1,1.4812,Under/Over (1.5),,Primera Nacional,Club Atletico Mitre de Santiago del Estero vs Defensores de Belgrano Buenos Aires,Club Atletico Mitre de Santiago del Estero,Defensores de Belgrano Buenos Aires,0xa8ade64a3adb0ea38de67a61105ef31beb490d5a7287715b76ae124536d359cc,L19683493,0,0,SUCCESS,1,1786215674,1786302000,2.077922,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xff53df1f3446908699196d44fcdb8b39c1bd15c7ed519f0d730e55a51a6eb38f,0x23a63d3fEDf22e3D422073b7226922d61587207c,1,1,1.3713,1X2,Almirante Brown,Primera Nacional,Almirante Brown vs Ciudad Bolivar,Almirante Brown,Ciudad Bolivar,0x63a8bf73c1084ef223fdd1096dccd16232e7a455fad77f7f0891be1588ebeb88,L19683447,0,0,SUCCESS,1,1786215673,1786212000,2.693603,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x249d52552e7acb9f472d2a4c48ab754622ba572903281739a3e10b4d509dccb0,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,1.44,1.2288,Asian Handicap (-1),Almirante Brown -1,Primera Nacional,Almirante Brown vs Ciudad Bolivar,Almirante Brown,Ciudad Bolivar,0xa6a338c64f062bfd589e8d5d9cea45a27c9e64065f71f800e5966f81ce53c556,L19683447,0,0,SUCCESS,1,1786214209,1786212000,6.295082,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xf65c55196eeb0d21e7e3866ad26f8c3f2fee2aef273ddde5423e31fb40a51469,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,121.81,1.4363,1X2,Almirante Brown,Primera Nacional,Almirante Brown vs Ciudad Bolivar,Almirante Brown,Ciudad Bolivar,0x63a8bf73c1084ef223fdd1096dccd16232e7a455fad77f7f0891be1588ebeb88,L19683447,0,0,SUCCESS,1,1786213844,1786212000,279.22063,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x1bb20a2bf22e4fe06b44c06b9c2caa21f3f2a7c9d0cce1a2346f79e76022cd1f,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,21.05,1.4363,Asian Handicap (-0.5),Almirante Brown -0.5,Primera Nacional,Almirante Brown vs Ciudad Bolivar,Almirante Brown,Ciudad Bolivar,0xfa00d2f0c7b5053ee336b303a0e7ad9cec0b8d539367773b7efee5c86cb2b59d,L19683447,0,0,SUCCESS,1,1786213843,1786212000,48.252149,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xc51052f8e449b4d56cc87b697bfc8eb0d3a88ae218dee1da3d725fa94163bc75,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,77.29513,1.2588,Primera Nacional,,Primera Nacional,Almirante Brown vs Ciudad Bolivar,Almirante Brown,Ciudad Bolivar,0xaa5316c6f6544d74142ad6db34a3745918f237ffb1a657e000693947e81b65d6,L19683447,0,0,SUCCESS,1,1786212849,1786212000,298.72514,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x0aeb4fe40f7d734cf244c144e6c064568b40b222193c9f93c641d1b31af3752e,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,,16.89162,1.2588,Primera Nacional,,Primera Nacional,Almirante Brown vs Ciudad Bolivar,Almirante Brown,Ciudad Bolivar,0xaa5316c6f6544d74142ad6db34a3745918f237ffb1a657e000693947e81b65d6,L19683447,0,0,SUCCESS,1,1786212805,1786212000,65.281623,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x383b895a5fe529a887369a0f113c516fdc7f6125d54381acf9695997ef22d039,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1,1,11.26905,1.745,Primera Nacional,Almirante Brown,Primera Nacional,Almirante Brown vs Ciudad Bolivar,Almirante Brown,Ciudad Bolivar,0xaa5316c6f6544d74142ad6db34a3745918f237ffb1a657e000693947e81b65d6,L19683447,0,0,SUCCESS,1,1786211779,1786212000,15.126242,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xcfb6add6f8610a64ffc187beb9e16bf2bacb27b54a0f0aaefa6bfb437239b893,0xFD3a22179CA4104E97c670b834750Bd7Ff310b17,1,24.89998,1.745,Primera Nacional,Almirante Brown,Primera Nacional,Almirante Brown vs Ciudad Bolivar,Almirante Brown,Ciudad Bolivar,0xaa5316c6f6544d74142ad6db34a3745918f237ffb1a657e000693947e81b65d6,L19683447,0,0,SUCCESS,1,1786211777,1786212000,33.422792,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xd41652604437a4e92e0d78b653d4d49d8dedd2e153d1340dad89b9b93e182a48,0xf4a8B27C9a13e298D65b5Cc072d252816B799C81,1,1,1.4163,1X2,Atl. Rafaela,Primera Nacional,Atl. Rafaela vs Chacarita Juniors,Atl. Rafaela,Chacarita Juniors,0xe738e9ba05492fab73eaaf6da211b84caadc72b08b26f1cd30fa8737e283bb44,L19683450,0,0,SUCCESS,1,1786211028,1786215600,2.402402,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
